4478476,14437,16542,52,8,0,
4478481,14413,16542,52,8,0,
4478486,14368,16552,52,8,0,
4478491,14305,16552,52,8,0,
4478496,14218,16566,52,7,0,
4478501,14133,16580,52,7,0,
4478506,14046,16597,53,6,0,
4478511,13952,16620,55,6,0,
4478516,13858,16638,56,6,0,
4478521,13763,16653,59,6,0,
4478526,13664,16667,62,6,0,
4478531,13571,16679,65,5,0,
4478536,13479,16693,67,4,0,
4478541,13388,16708,70,4,0,
4478546,13304,16717,74,3,0,
4478551,13226,16727,79,4,0,
4478556,13154,16735,81,2,0,
4478561,13094,16747,83,2,0,
4478566,13036,16773,83,2,0,
4478571,12980,16811,83,2,0,
4478576,12927,16857,83,2,0,
4478581,12866,16911,83,1,0,
4478586,12814,16964,83,1,0,
4478591,12756,17017,83,1,0,
4478596,12698,17071,83,0,0,
4478601,12650,17122,83,0,0,
4478606,12605,17172,83,0,0,
4478611,12570,17223,83,0,0,
4478616,12543,17275,83,-1,0,
4478621,12514,17328,83,-1,0,
4478626,12487,17386,83,0,0,
4478631,12465,17444,83,1,0,
4478636,12444,17500,80,2,0,
4478641,12425,17554,76,5,0,
4478646,12399,17602,71,6,0,
4478651,12368,17652,67,10,0,
4478656,12332,17701,62,13,0,
4478661,12299,17748,57,15,0,
4478666,12272,17800,52,19,0,
4478671,12246,17844,47,23,0,
4478676,12221,17887,45,26,0,
4478681,12192,17931,45,28,0,
4478686,12162,17972,45,31,0,
4478691,12130,18013,47,34,0,
4478696,12100,18057,48,36,0,
4478701,12073,18099,49,38,0,
4478706,12048,18145,50,39,0,
4478711,12024,18202,51,37,0,
4478716,12002,18262,52,35,0,
4478721,11984,18330,54,32,0,
4478726,11972,18401,55,31,0,
4478731,11961,18474,56,29,0,
4478736,11947,18552,59,27,0,
4478741,11933,18636,60,24,0,
4478746,11916,18720,60,23,0,
4478751,11900,18803,62,20,0,
4478756,11887,18878,62,17,0,
4478761,11875,18944,64,16,0,
4478766,11862,19008,64,14,0,
4478771,11845,19061,66,12,0,
4478776,11829,19108,65,10,0,
4478781,11812,19148,66,8,0,
4478786,11795,19178,66,6,0,
4478791,11779,19204,66,5,0,
4478796,11759,19231,66,4,0,
4478801,11734,19255,68,2,0,
4478806,11705,19281,68,1,0,
4478811,11675,19304,69,0,0,
4478816,11646,19325,69,0,0,
4478821,11615,19348,69,0,0,
4478826,11585,19368,70,0,0,
4478831,11556,19385,70,1,0,
4478836,11531,19396,72,2,0,
4478841,11515,19396,72,5,0,
4478846,11502,19380,73,7,0,
4478851,11490,19354,72,10,0,
4478856,11478,19323,74,10,0,
4478861,11463,19290,75,10,0,
4478866,11448,19251,75,10,0,
4478871,11438,19210,77,10,0,
4478876,11428,19163,77,10,0,
4478881,11419,19115,77,10,0,
4478886,11412,19071,77,10,0,
4478891,11400,19033,76,12,0,
4478896,11392,18998,76,13,0,
4478901,11382,18968,76,13,0,
4478906,11370,18941,76,12,0,
4478911,11351,18919,77,10,0,
4478916,11322,18904,77,8,0,
4478921,11286,18893,77,6,0,
4478926,11243,18885,77,4,0,
4478931,11194,18877,77,2,0,
4478936,11144,18867,77,1,0,
4478941,11089,18858,77,1,0,
4478946,11036,18858,77,2,0,
4478951,10983,18850,79,4,0,
4478956,10930,18850,80,4,0,
4478961,10876,18862,81,2,0,
4478966,10820,18878,83,4,0,
4478971,10763,18904,83,4,0,
4478976,10709,18938,83,4,0,
4478981,10657,18975,83,4,0,
4478986,10611,19012,83,4,0,
4478991,10568,19042,80,4,0,
4478996,10525,19069,79,4,0,
4479001,10482,19096,76,3,0,
4479006,10433,19122,74,3,0,
4479011,10383,19150,72,3,0,
4479016,10332,19180,70,3,0,
4479021,10278,19208,67,3,0,
4479026,10226,19237,65,3,0,
4479031,10176,19268,62,3,0,
4479036,10125,19300,59,2,0,
4479041,10079,19330,56,1,0,
4479046,10035,19356,54,1,0,
4479051,9994,19376,51,3,0,
4479056,9954,19394,48,5,0,
4479061,9915,19410,47,8,0,
4479066,9874,19430,49,9,0,
4479071,9836,19450,48,12,0,
4479076,9803,19466,49,14,0,
4479081,9773,19480,50,16,0,
4479086,9749,19487,50,18,0,
4479091,9722,19487,51,19,0,
4479096,9699,19487,52,22,0,
4479101,9676,19487,52,24,0,
4479106,9659,19475,53,27,0,
4479111,9649,19460,53,29,0,
4479116,9640,19438,52,31,0,
4479121,9640,19412,52,34,0,
4479126,9640,19387,52,35,0,
4479131,9640,19360,53,37,0,
4479136,9648,19333,54,35,0,
4479141,9663,19303,55,34,0,
4479146,9682,19268,55,31,0,
4479151,9700,19236,55,28,0,
4479156,9716,19203,56,26,0,
4479161,9729,19168,57,25,0,
4479166,9742,19132,56,22,0,
4479171,9757,19093,55,22,0,
4479176,9770,19056,56,19,0,
4479181,9781,19024,55,18,0,
4479186,9788,18999,54,16,0,
4479191,9788,18980,55,14,0,
4479196,9788,18967,55,13,0,
4479201,9788,18954,55,11,0,
4479206,9788,18946,54,10,0,
4479211,9779,18946,54,9,0,
4479216,9763,18946,55,7,0,
4479221,9743,18946,54,9,0,
4479226,9721,18946,54,9,0,
4479231,9698,18946,54,10,0,
4479236,9671,18946,54,10,0,
4479241,9643,18954,55,11,0,
4479246,9610,18954,55,11,0,
4479251,9574,18963,55,11,0,
4479256,9542,18963,55,12,0,
4479261,9509,18963,55,12,0,
4479266,9475,18963,55,12,0,
4479271,9443,18963,56,13,0,
4479276,9406,18963,56,14,0,
4479281,9370,18963,58,13,0,
4479286,9336,18963,58,13,0,
4479291,9304,18963,58,13,0,
4479296,9275,18963,59,13,0,
4479301,9247,18976,59,13,0,
4479306,9221,18989,61,12,0,
4479311,9198,19003,62,12,0,
4479316,9181,19018,62,12,0,
4479321,9167,19032,62,12,0,
4479326,9158,19047,64,11,0,
4479331,9150,19063,64,11,0,
4479336,9150,19080,65,10,0,
4479341,9139,19100,65,10,0,
4479346,9139,19122,67,10,0,
4479351,9139,19142,67,10,0,
4479356,9129,19164,68,9,0,
4479361,9129,19184,68,9,0,
4479366,9129,19202,68,9,0,
4479371,9119,19221,68,9,0,
4479376,9119,19239,68,8,0,
4479381,9111,19257,68,8,0,
4479386,9111,19277,68,8,0,
4479391,9104,19297,69,7,0,
4479396,9104,19314,69,7,0,
4479401,9104,19331,69,7,0,
4479406,9104,19344,69,7,0,
4479411,9104,19356,69,6,0,
4479416,9097,19370,69,7,0,
4479421,9097,19383,69,7,0,
4479426,9088,19399,68,8,0,
4479431,9088,19410,68,9,0,
4479436,9079,19419,68,10,0,
4479441,9079,19426,69,13,0,
4479446,9071,19426,69,14,0,
4479451,9071,19438,68,17,0,
4479456,9058,19446,68,17,0,
4479461,9051,19454,68,19,0,
4479466,9051,19464,67,20,0,
4479471,9043,19473,68,23,0,
4479476,9043,19481,67,24,0,
4479481,9033,19490,68,26,0,
4479486,9026,19499,68,27,0,
4479491,9026,19508,69,29,0,
4479496,9017,19518,69,29,0,
4479501,9017,19528,69,29,0,
4479506,9006,19538,69,31,0,
4479511,9006,19546,69,31,0,
4479516,8990,19553,69,29,0,
4479521,8983,19553,69,29,0,
4479526,8975,19562,69,29,0,
4479531,8966,19562,69,29,0,
4479536,8956,19570,69,29,0,
4479541,8944,19577,69,29,0,
4479546,8929,19577,69,29,0,
4479551,8917,19586,69,29,0,
4479556,8904,19593,69,29,0,
4479561,8892,19593,69,29,0,
4479566,8882,19602,69,29,0,
4479571,8869,19602,69,29,0,
4479576,8856,19602,69,28,0,
4479581,8843,19609,69,28,0,
4479586,8828,19609,69,28,0,
4479591,8812,19609,69,28,0,
4479596,8798,19620,71,27,0,
4479601,8783,19628,71,27,0,
4479606,8771,19636,73,26,0,
4479611,8761,19646,73,26,0,
4479616,8752,19659,73,26,0,
4479621,8742,19671,73,26,0,
4479626,8730,19686,73,26,0,
4479631,8720,19703,73,26,0,
4479636,8706,19722,73,25,0,
4479641,8694,19742,73,25,0,
4479646,8684,19766,75,23,0,
4479651,8676,19793,75,23,0,
4479656,8668,19818,75,23,0,
4479661,8668,19843,75,23,0,
4479666,8657,19865,75,23,0,
4479671,8657,19885,75,23,0,
4479676,8657,19907,75,23,0,
4479681,8657,19927,77,22,0,
4479686,8657,19946,77,20,0,
4479691,8657,19964,76,21,0,
4479696,8657,19983,74,22,0,
4479701,8657,20001,71,21,0,
4479706,8657,20019,68,22,0,
4479711,8657,20035,68,23,0,
4479716,8657,20048,65,22,0,
4479721,8657,20058,63,23,0,
4479726,8665,20065,60,23,0,
4479731,8665,20065,59,23,0,
4479736,8665,20065,59,23,0,
4479741,8665,20065,59,23,0,
4479746,8673,20057,59,22,0,
4479751,8673,20057,59,22,0,
4479756,8673,20047,59,22,0,
4479761,8673,20047,59,22,0,
4479766,8681,20035,59,22,0,
4479771,8681,20028,61,22,0,
4479776,8681,20028,63,21,0,
4479781,8681,20028,64,21,0,
4479786,8681,20028,66,21,0,
4479791,8681,20028,69,19,0,
4479796,8681,20037,70,20,0,
4479801,8681,20049,73,19,0,
4479806,8681,20065,75,18,0,
4479811,8672,20085,75,18,0,
4479816,8672,20111,76,19,0,
4479821,8665,20141,76,19,0,
4479826,8665,20173,76,19,0,
4479831,8657,20208,75,18,0,
4479836,8657,20244,75,18,0,
4479841,8645,20280,74,18,0,
4479846,8638,20318,72,19,0,
4479851,8630,20355,71,19,0,
4479856,8622,20392,69,18,0,
4479861,8615,20426,66,19,0,
4479866,8608,20458,65,18,0,
4479871,8599,20494,62,19,0,
4479876,8590,20532,61,18,0,
4479881,8582,20573,59,19,0,
4479886,8573,20616,57,19,0,
4479891,8565,20659,55,18,0,
4479896,8556,20704,55,18,0,
4479901,8544,20756,53,18,0,
4479906,8533,20813,52,18,0,
4479911,8519,20875,49,18,0,
4479916,8508,20941,47,18,0,
4479921,8499,21008,46,17,0,
4479926,8487,21079,46,17,0,
4479931,8475,21151,45,15,0,
4479936,8463,21221,46,14,0,
4479941,8448,21285,46,14,0,
4479946,8436,21343,46,13,0,
4479951,8428,21394,46,12,0,
4479956,8418,21437,48,11,0,
4479961,8411,21475,48,11,0,
4479966,8411,21509,50,10,0,
4479971,8402,21537,50,10,0,
4479976,8402,21558,50,10,0,
4479981,8402,21572,49,12,0,
4479986,8413,21580,49,12,0,
4479991,8421,21580,49,13,0,
4479996,8428,21591,49,14,0,
4480001,8436,21591,49,14,0,
4480006,8450,21591,48,15,0,
4480011,8466,21591,49,17,0,
4480016,8483,21591,49,18,0,
4480021,8501,21591,48,19,0,
4480026,8519,21591,49,22,0,
4480031,8538,21591,47,23,0,
4480036,8562,21591,47,23,0,
4480041,8589,21591,45,26,0,
4480046,8618,21584,45,27,0,
4480051,8647,21584,45,28,0,
4480056,8676,21600,47,29,0,
4480061,8707,21619,48,29,0,
4480066,8738,21647,51,29,0,
4480071,8770,21680,54,30,0,
4480076,8802,21721,56,29,0,
4480081,8829,21775,61,29,0,
4480086,8851,21836,64,29,0,
4480091,8869,21907,68,27,0,
4480096,8879,21988,70,28,0,
4480101,8879,22075,74,27,0,
4480106,8861,22172,76,26,0,
4480111,8826,22277,79,25,0,
4480116,8776,22386,81,24,0,
4480121,8713,22499,81,23,0,
4480126,8635,22610,81,23,0,
4480131,8544,22723,81,23,0,
4480136,8439,22838,81,23,0,
4480141,8321,22955,81,21,0,
4480146,8198,23071,82,20,0,
4480151,8071,23176,82,19,0,
4480156,7946,23264,82,17,0,
4480161,7826,23330,81,17,0,
4480166,7710,23376,79,15,0,
4480171,7600,23398,77,15,0,
4480176,7501,23398,76,13,0,
4480181,7415,23368,75,11,0,
4480186,7340,23321,75,10,0,
4480191,7280,23258,74,9,0,
4480196,7233,23190,74,9,0,
4480201,7203,23120,73,7,0,
4480206,7192,23048,73,7,0,
4480211,7203,22972,74,7,0,
4480216,7235,22890,75,7,0,
4480221,7283,22802,77,6,0,
4480226,7343,22710,78,6,0,
4480231,7412,22614,80,7,0,
4480236,7484,22507,80,8,0,
4480241,7565,22388,80,8,0,
4480246,7657,22260,78,11,0,
4480251,7753,22126,78,12,0,
4480256,7852,21995,76,13,0,
4480261,7950,21870,74,15,0,
4480266,8047,21753,72,18,0,
4480271,8142,21647,69,19,0,
4480276,8239,21551,66,21,0,
4480281,8334,21467,63,25,0,
4480286,8429,21399,59,27,0,
4480291,8524,21347,55,28,0,
4480296,8619,21308,51,29,0,
4480301,8713,21282,49,30,0,
4480306,8795,21270,47,29,0,
4480311,8866,21270,47,29,0,
4480316,8922,21289,48,29,0,
4480321,8963,21315,49,27,0,
4480326,8999,21342,50,25,0,
4480331,9027,21365,50,25,0,
4480336,9043,21382,52,24,0,
4480341,9043,21395,53,22,0,
4480346,9043,21405,55,22,0,
4480351,9026,21413,57,20,0,
4480356,9004,21421,59,20,0,
4480361,8976,21429,60,20,0,
4480366,8938,21441,61,21,0,
4480371,8895,21455,64,22,0,
4480376,8847,21471,65,22,0,
4480381,8797,21490,66,23,0,
4480386,8749,21511,67,24,0,
4480391,8702,21531,65,26,0,
4480396,8660,21552,65,27,0,
4480401,8623,21573,64,29,0,
4480406,8588,21595,60,30,0,
4480411,8559,21620,59,32,0,
4480416,8535,21645,56,35,0,
4480421,8516,21673,54,36,0,
4480426,8502,21700,52,38,0,
4480431,8489,21725,51,38,0,
4480436,8479,21750,48,39,0,
4480441,8467,21773,47,38,0,
4480446,8455,21793,47,36,0,
4480451,8446,21809,44,38,0,
4480456,8436,21824,42,35,0,
4480461,8436,21836,41,34,0,
4480466,8424,21848,38,35,0,
4480471,8424,21859,39,34,0,
4480476,8413,21866,37,35,0,
4480481,8413,21866,37,32,0,
4480486,8405,21866,39,33,0,
4480491,8405,21874,39,32,0,
4480496,8395,21874,39,32,0,
4480501,8395,21874,39,32,0,
4480506,8395,21862,39,32,0,
4480511,8395,21851,39,32,0,
4480516,8395,21837,39,30,0,
4480521,8395,21825,39,30,0,
4480526,8395,21816,39,30,0,
4480531,8395,21809,39,30,0,
4480536,8395,21809,39,30,0,
4480541,8395,21799,39,30,0,
4480546,8395,21799,41,30,0,
4480551,8395,21799,41,30,0,
4480556,8395,21799,42,29,0,
4480561,8395,21808,42,29,0,
4480566,8385,21816,42,29,0,
4480571,8378,21816,42,29,0,
4480576,8371,21827,42,29,0,
4480581,8362,21827,42,29,0,
4480586,8353,21827,42,29,0,
4480591,8343,21835,42,29,0,
4480596,8332,21835,42,29,0,
4480601,8323,21835,42,29,0,
4480606,8314,21828,42,29,0,
4480611,8303,21828,42,29,0,
4480616,8294,21828,42,29,0,
4480621,8284,21828,42,29,0,
4480626,8275,21819,42,29,0,
4480631,8267,21819,42,29,0,
4480636,8267,21819,42,29,0,
4480641,8255,21810,42,29,0,
4480646,8255,21810,42,29,0,
4480651,8246,21810,42,29,0,
4480656,8246,21810,42,29,0,
4480661,8246,21801,42,28,0,
4480666,8246,21801,42,28,0,
4480671,8254,21801,42,28,0,
4480676,8254,21801,42,28,0,
4480681,8261,21793,42,28,0,
4480686,8261,21793,42,28,0,
4480691,8271,21785,42,28,0,
4480696,8278,21785,42,28,0,
4480701,8278,21776,42,28,0,
4480706,8289,21776,43,27,0,
4480711,8289,21776,43,27,0,
4480716,8299,21776,43,27,0,
4480721,8299,21776,43,27,0,
4480726,8307,21764,43,27,0,
4480726,8307,21764,42,26,224,
4480731,8296,21742,42,26,234,
4480736,8285,21725,42,26,320,
4480741,8275,21712,42,26,371,
4480746,8267,21702,42,26,416,
4480751,8267,21693,42,26,462,
4480756,8258,21693,43,24,499,
4480761,8258,21685,43,24,523,
4480766,8258,21685,43,24,549,
4480771,8258,21685,43,24,580,
4480776,8258,21685,43,24,613,
